NAME,PAC
涪州,500102
合州,500117
永昌县,500118
金山,500119
东安县,500152
鸡鸣寺,500154
开县,500154
梁山县,500155
后坪,500229
䕫州府,500236
大宁县,500238
东城区,510104
西城区,510105
新都县,510114
新繁县,510114
温江县,510115
华阳县,510116
双流县,510116
郫县,510117
新津县,510118
巴郎山,510181
灌县,510181
灌县,510181
牛头山,510181
青城山,510181
兴文坪,510181
映秀湾,510181
九顶山,510182
彭县,510182
邛崃县,510183
邛州,510183
崇庆县,510184
简阳县,510185
简州,510185
渡口市,510400
沱江,510500
市中区,510502
纳溪县,510503
古宋县,510524
永宁县,510524
德阳县,510600
市中区,510603
罗江县,510604
广汉县,510681
汉州,510681
什邡县,510682
绵竹县,510683
市中区,510703
市中区,510704
安县,510705
潼州府,510722
北川县,510726
龙安府,510727
江油县,510781
彰明县,510781
昭化县,510800
市中区,510802
元坝区,510811
市中区,510903
市中区,510904
射洪县,510981
内江县,511000
隆昌县,511083
嘉定府,511100
沙湾区 ,511111
五通桥区 ,511112
金口河工农区,511113
峨边县,511132
瓦山,511132
马边县,511133
峨眉县,511181
南充县,511300
顺庆府,511300
嘉陵江,511304
保宁府,511381
眉山县,511400
眉州,511400
彭山县,511403
丹陵县,511424
叙州府,511500
宜宾县,511500
南溪县,511503
庆符县,511525
广安县,511602
定远县,511622
华云工农区,511681
达县,511700
绥定府,511703
东乡县,511722
新宁县,511723
白沙工农区,511781
太平县,511781
二郎山,511800
雅安县,511800
名山县,511803
大相岑,511823
富林,511823
清溪县,511823
穆坪,511827
巴州,511901
资州,512000
马尔康县,513201
马塘,513201
理番,513222
杂各脑,513222
茂汶羌族自治县,513223
茂州,513223
归化,513224
黄龙寺,513224
南坪县,513225
大金县,513226
懋功县,513227
鹧鸪山,513233
甘孜县,513300
打箭炉,513301
打箭炉,513301
打箭炉,513301
大炮山,513301
大雪山,513301
贡嘎寺,513301
康定县,513301
榆林宫,513301
榆林宫,513301
折多山,513301
折多山,513301
卓克基,513301
飞越岑,513322
泸定桥,513322
河口,513325
瞻对,513329
德化县,513330
理化县,513334
巴安县,513335
定乡县,513336
大凉山,513400
安宁河,513401
建昌道,513401
建昌府,513401
宁远府,513401
西昌县,513401
会理县,513402
通安州,513402
瓜必,513423
登相营,513432
绵州,513432
小相岭,513432
普雄县,513434
呷洛县,513435
海棠,513435
大凉山,513436
山稜岗,513437
